Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance Index
7,99,Yes,9,1,91.0
4,82,No,4,2,65.0
8,51,Yes,7,2,45.0
5,52,Yes,5,2,36.0
7,75,No,8,5,66.0
3,78,No,9,6,61.0
7,73,Yes,5,6,63.0
8,45,Yes,4,6,42.0
5,77,No,8,2,61.0
4,89,No,4,0,69.0
8,91,No,4,5,84.0
8,79,No,6,2,73.0
3,47,No,9,2,27.0
6,47,No,4,2,33.0
5,79,No,7,8,68.0
2,72,No,4,3,43.0
8,73,Yes,8,4,67.0
6,83,Yes,7,2,70.0
2,54,Yes,4,9,30.0
5,75,No,7,0,63.0
1,99,Yes,4,3,71.0
6,96,No,9,0,85.0
9,74,Yes,7,6,73.0
1,85,No,5,6,57.0
3,61,No,6,3,35.0
7,62,Yes,7,4,49.0
4,79,No,8,9,66.0
9,84,Yes,6,6,83.0
3,94,Yes,6,5,74.0
5,90,Yes,4,3,74.0
3,61,Yes,7,3,39.0
7,44,Yes,9,1,36.0
5,70,Yes,6,9,58.0
9,52,Yes,8,1,47.0
7,67,Yes,9,3,60.0
2,97,Yes,9,4,74.0
4,59,No,8,3,42.0
9,72,No,8,2,68.0
2,55,Yes,4,1,32.0
9,68,No,5,3,64.0
5,62,No,7,4,45.0
2,63,Yes,6,0,39.0
4,73,Yes,7,0,58.0
7,46,No,9,5,36.0
8,77,Yes,6,4,71.0
3,76,Yes,4,3,54.0
1,43,Yes,7,0,17.0
4,73,No,4,6,54.0
2,81,Yes,4,3,58.0
8,61,No,7,2,53.0
4,44,Yes,7,6,27.0
2,89,Yes,6,1,65.0
6,81,No,9,9,75.0
6,62,Yes,9,0,52.0
4,93,No,8,3,78.0
6,99,No,4,7,91.0
2,54,Yes,9,5,33.0
2,70,Yes,5,8,47.0
4,98,No,6,0,78.0
8,48,No,6,0,38.0
7,82,Yes,8,4,70.0
9,97,Yes,8,5,98.0
8,92,Yes,4,7,87.0
5,64,Yes,6,2,49.0
2,64,Yes,6,5,41.0
5,88,No,5,2,71.0
8,60,No,4,7,54.0
9,48,No,4,3,42.0
9,94,No,9,1,91.0
1,87,Yes,8,8,61.0
9,77,No,9,9,74.0
7,61,Yes,4,7,54.0
9,82,Yes,5,5,81.0
8,62,Yes,4,2,52.0
1,88,Yes,9,1,65.0
8,43,Yes,7,3,36.0
8,68,No,7,3,61.0
3,54,Yes,5,0,35.0
1,40,Yes,8,8,15.0
8,93,Yes,6,9,88.0
3,69,No,4,7,45.0
3,68,Yes,9,6,49.0
1,59,Yes,8,5,33.0
5,72,Yes,9,2,60.0
7,80,No,8,3,71.0
9,83,Yes,4,1,81.0
7,75,No,6,6,67.0
9,99,No,4,1,95.0
8,61,Yes,6,9,58.0
2,52,No,9,0,29.0
1,46,No,5,5,21.0
7,47,Yes,6,3,38.0
7,67,Yes,8,7,60.0
8,84,Yes,5,0,76.0
5,82,Yes,9,8,69.0
3,48,No,7,5,30.0
8,64,No,5,1,57.0
6,95,Yes,6,7,81.0
3,55,Yes,5,4,36.0
